date	close
31-Jan-14	12
28-Jan-14	12
27-Jan-14	12
26-Jan-14	10
25-Jan-14	11
24-Jan-14	12
21-Jan-14	12
20-Jan-14	12
19-Jan-14	13
18-Jan-14	13
14-Jan-14	13
13-Jan-14	14
12-Jan-14	14
11-Jan-14	15
10-Jan-14	14
7-Jan-14	13
6-Jan-14	13
5-Jan-14	12
4-Jan-14	12
3-Jan-14	12
31-Dec-13	9
30-Dec-13	3
29-Dec-13	7
28-Dec-13	6
27-Dec-13	2
23-Dec-13	1
22-Dec-13	2
21-Dec-13	6
20-Dec-13	10
17-Dec-13	11
16-Dec-13	12
15-Dec-13	13
14-Dec-13	12
13-Dec-13	12
9-Dec-13	12
8-Dec-13	14
7-Dec-13	12.09
6-Dec-13	11.95
5-Dec-13	10.01
2-Dec-13	9.70
1-Dec-13	10.93
30-Nov-13	11.20
29-Nov-13	11.20
28-Nov-13	10.12
25-Nov-13	9.57
23-Nov-13	10.99
22-Nov-13	11.51
21-Nov-13	13.01
18-Nov-13	12.94
17-Nov-13	10.41
16-Nov-13	11.77
15-Nov-13	12.83
14-Nov-13	12.26
11-Nov-13	13.62
10-Nov-13	14.22
9-Nov-13	12.28
8-Nov-13	13.23
7-Nov-13	12.73
4-Nov-13	12.24
3-Nov-13	12.07
2-Nov-13	11.45
1-Nov-13	10.51
31-Oct-13	11.78
28-Oct-13	12.95
27-Oct-13	12.69
26-Oct-13	12.60
25-Oct-13	13.77
24-Oct-13	14.77
21-Oct-13	13.87
20-Oct-13	13.31
19-Oct-13	9.62
18-Oct-13	8.24
17-Oct-13	9.99
14-Oct-13	10.00
13-Oct-13	9.43
12-Oct-13	8.19
11-Oct-13	9.29
10-Oct-13	10.81
7-Oct-13	11.80
6-Oct-13	12.37
5-Oct-13	12.25
4-Oct-13	12.50
3-Oct-13	12.60
