date	close
31-Jan-14	56
28-Jan-14	55
27-Jan-14	57
26-Jan-14	56
25-Jan-14	55
24-Jan-14	53
21-Jan-14	51
20-Jan-14	55
19-Jan-14	54
18-Jan-14	52
14-Jan-14	51
13-Jan-14	50
12-Jan-14	51
11-Jan-14	52
10-Jan-14	53
7-Jan-14	53
6-Jan-14	57
5-Jan-14	57
4-Jan-14	55
3-Jan-14	60
31-Dec-13	54
30-Dec-13	54
29-Dec-13	51
28-Dec-13	50
27-Dec-13	48
23-Dec-13	47
22-Dec-13	41
21-Dec-13	40
20-Dec-13	41
17-Dec-13	5
16-Dec-13	3
15-Dec-13	12
14-Dec-13	14
13-Dec-13	20
9-Dec-13	57.62
8-Dec-13	55.66
7-Dec-13	53.09
6-Dec-13	55.95
5-Dec-13	51.01
2-Dec-13	50.70
1-Dec-13	45.93
30-Nov-13	47.20
29-Nov-13	48.20
28-Nov-13	39.12
25-Nov-13	55.57
23-Nov-13	56.99
22-Nov-13	48.51
21-Nov-13	37.01
18-Nov-13	36.94
17-Nov-13	33.41
16-Nov-13	40.77
15-Nov-13	45.83
14-Nov-13	55.26
11-Nov-13	57.62
10-Nov-13	56.22
9-Nov-13	55.28
8-Nov-13	58.23
7-Nov-13	60.73
4-Nov-13	65.24
3-Nov-13	45.07
2-Nov-13	45.45
1-Nov-13	46.51
31-Oct-13	47.78
28-Oct-13	50.95
27-Oct-13	51.69
26-Oct-13	52.60
25-Oct-13	60.77
24-Oct-13	61.77
21-Oct-13	57.87
20-Oct-13	55.31
19-Oct-13	56.62
18-Oct-13	57.24
17-Oct-13	55.99
14-Oct-13	53.00
13-Oct-13	50.43
12-Oct-13	49.19
11-Oct-13	51.29
10-Oct-13	52.81
7-Oct-13	54.80
6-Oct-13	55.37
5-Oct-13	57.25
4-Oct-13	56.50
3-Oct-13	55.60
